NEWpi	gerp	mr	tau	SIFTsorghum	SIFTcounts	frac	rho	Mpi	Mexp	Sexp	winLen	geneLen
0.0128	0.006528	0.123492	2.677022	0.615	4	0	14.38	0.00378587	3.2160992545	1.56822816063118	6084	1885
0.0058	0.117223	0.54636	10.465978	0.64	1	0	19.78	0.00501356	0.5638201977	0.4522999979	8083	5156
0.0043	0.121047	0.584696	0.23012	0.01	3	2	51.38	0.00548733813414552	0.814416665922913	0.3158811641	37287	1976
0.0174	0.000251	0.480589	2.285853	0.67	8	0	137.53	0.01217094	1.3894750706	1.0512355022	51028	8302
0.0096	0.146137	1.318122	14.237412	0.28375	8	0	3.39	0.00370135	0.7567214525	0.422056191	13902	5950
0.0163	-0.028313	0.210204	0.097484	0.3366666667	6	2	14.91	0.00863159309147933	1.80498977391766	0.9698651602	4729	2404
0.0267	0.170703	1.046011	0.915739	0.3533333333	3	2	19.26	0.0099059628020994	1.19775320613913	1.0334580371217	6557	1960
0.0103	0.051648	0.812595	15.771332	0.42875	8	0	4.24	0.01066101	0.466612463	0.4513564014	9610	6239
0.0139	-0.032496	0.616019	20.163448	0.439375	16	0	7.85	0.00395178	0.5579412684	0.4146767323	5592	4685
0.0196	0.289808	0.857567	24.332435	0.6046153846	13	1	1.89	0.00576472	0.4088879447	0.2527091974	6123	5563
0.0115	0.333524	1.439775	22.323868	0	0	0	0	0.00499572	0.7570050473	0.8442534831	1215	551
0.0095	0.133291	1.597802	31.457661	0.7766666667	3	1	20.77	0.008883075	0.8331589671	0.4353683043	4523	3901
0.0134	0.08854	0.453252	9.349393	0.465	4	0	24.98	0.00252123	0.43794632	0.7489418622	2470	1846
0.0081	0.155951	1.226579	28.223344	0.525	8	0	24.85	0.0075733	0.5180236736	0.6778637839	7625	7302
0.0166	0.20483	1.215385	18.401244	0.4325	4	2	21.35	0.00669522604195848	0.863144575643626	0.4588405796	3858	2504
0.0183	0.243974	0.916457	30.924892	0.2342105263	19	1	4.79	0.00533045	0.5693069763	0.613561794294269	6018	4279
0.0201	0.298746	1.346269	32.492147	0.556	10	0	18.97	0.00750089	0.5087804607	0.3481275502	2483	2022
0.0209	0.728757	1.985854	28.975452	0.5157575758	33	0	9.97	0.00557898	0.5161503272	0.3992359685	5703	3609
0.0145	0.202724	1.166112	26.733894	0.61	4	0	0	0.00530225	0.8577729856	1.4161183717	7249	5097
0.0124	0.106004	0.801593	4.868691	0.9225	4	0	124.59	0.00641124	1.2122288374	0.977637658237575	24903	6589
0.0053	0.752417	1.977367	9.067751	0.7429411765	17	1	47.23	0.005947975	0.6318400481	0.7233422662	21926	3185
0.0205	0.617658	1.31799	28.808647	0.656	30	0	32.4	0.00663488	1.03096941735195	0.9333565426	3504	2782
0.0115	0.149056	0.943596	21.724173	0.69375	8	0	20.35	0.00667438	0.396987601	0.4224228828	1994	1726
0.0273	-0.183503	0.969651	7.579486	0.7016666667	12	0	69.84	0.00741648	0.99300946	0.6672305347	3227	1880
0.0138	0.013932	0.528329	4.348379	0.85	6	0	24.65	0.01452575	1.3752677571	1.140292142	4287	1623
0.0076	0.000184	0.000184	0.946056	0	2	2	22.99	0.00758563729388233	0.503750156157051	0.5804806463	9102	7527
0.0119	-0.000903	0.004371	0.160582	0.325	10	2	18.95	0.00717280146158773	1.4368144503248	1.4501932718	6875	6482
0.0146	0.017204	0.343688	8.709564	0.4	11	0	37.14	0.00649135	1.0635445696	0.8688063518	9651	6565
0.0186	0.154156	1.144371	26.154555	0	0	1	113.37	0.00905274	0.5441205712	0.2830137091	7596	4503
0.0062	0.432292	1.46669	41.314711	0.03	1	0	25.39	0.00929222	1.1092226634272	1.2743878358	3732	2477
0.0084	0.173604	0.958551	12.584746	0.24	2	0	7.77	0.00264488	1.0851505418	1.3053770465	4307	2236
0.013	0.120726	0.94432	28.426015	0.32	16	0	18.7	0.0093192	0.6008381584	0.6234550641	7711	6452
0.0211	0.038699	0.391644	4.875313	0.7333333333	3	0	45.34	0.00882914	2.0447535319	1.8448003276	11970	8489
0.0148	0.344902	1.493314	15.515879	0.8433333333	3	1	21.74	0.008532415	0.6034093282	0.3688269986	7998	3085
0.0099	0.211441	1.045603	14.488464	0.565	6	0	14.18	0.01511052	0.6475879005	0.7684151766	5548	3164
0.0128	0.404544	1.858846	40.560144	0.6644444444	36	0	14.7	0.00628782	0.7995654685	0.754166347566612	3051	2167
0.0257	0.227998	1.099886	20.037268	0.6778571429	14	0	44.24	0.00981461	0.7995654685	0.734060355	5058	2154
0.0174	0.03408	0.884095	14.694543	0.2066666667	3	0	27.55	0.01174122	1.2481629423	0.5948299306	3958	2284
0.0141	-0.009403	0.848819	13.258975	0.3933333333	3	0	16.41	0.00958674	0.811748751081047	0.743848221114678	4763	2894
0.0225	0.170535	1.341262	19.971994	0.884	5	0	24.7	0.01475628	0.538114285	0.5247816195	5106	3981
0.0274	0.304411	1.081936	14.627573	0.7319230769	26	0	18.57	0.00667999	0.4905092038	0.4347912503	7286	5188
0.0064	0.287286	1.530811	10.950308	0.911	10	1	18.37	0.00373413	0.568403873	0.8786425028	17689	4262
0.0011	0.007546	0.764313	1.356419	0.8033333333	3	2	5.99	0.00705068993149982	1.95986021036125	1.81807763822265	14114	446
0.0226	-0.044069	1.700942	14.990145	0.64	2	0	23.46	0.01309037	0.549877898	0.6225346588	3805	2273
0.0225	0.153935	0.447186	6.640989	0.6388235294	17	0	26.89	0.00890016	0.5170491112	0.5565140525	6348	3718
0.02	0.070044	0.384441	6.216807	0.5825	8	0	36.82	0.00504548	0.849010385686425	0.5775361087	6289	3937
0.0213	0.58811	1.914585	13.504067	1	1	1	27.04	0.00564474	0.8590705711	0.624575169	10695	761
0.024	0.298254	1.425737	6.922285	0.6247058824	17	2	22.35	0.00672789216027604	1.40381409425789	1.0068075165	14135	2551
0.0173	0.068434	0.380634	4.742131	0.72	7	0	30.16	0.00195876	0.772483725998675	0.4860325213	9912	5070
0.0095	0.001335	1.902964	1.439342	0.654	10	0	182.92	0.00806623	1.45222099692539	1.2184386463	49392	1863
0.0203	-0.163585	1.418036	0.386733	0.83125	8	2	338.07	0.00560816551455584	1.46454503676679	1.5456413875	52085	2356
0.0247	-0.350301	2.158649	0.545513	0.5966666667	21	2	16.34	0.00504924926065298	1.17186885942547	1.1867214857	12359	1478
0.0308	0.211978	0.74346	0.909001	0.428	5	2	39.93	0.00610207965091237	1.51926245627231	1.2562597565	10665	1570
0.0288	0.34446	1.536003	4.710806	0.8425	4	2	40.46	0.00676470095363701	1.22879078405398	1.0035716209	12993	2503
0.0173	0.109918	0.657108	3.082634	0.7290909091	11	2	108.87	0.00765861017800307	1.50805790095757	1.2360680468	14776	2653
0.0178	0.093319	0.581089	8.987678	0.61	6	1	67.19	0.004960805	0.930740731494528	0.7648556935	9211	4589
0.0191	0.24808	0.966486	24.688248	0.58875	8	1	27.97	0.006955145	0.7139864397	0.4035303477	5182	3499
0.0154	0.142401	1.147784	20.582108	1	1	0	29.55	0.00739295431230585	0.817381019707355	0.4281916301	4147	3067
0.0126	0.771475	1.802362	35.998013	0.6969230769	13	0	27.56	0.00513082	0.5695774435	0.2273876886	4277	3555
0.0222	-0.032462	0.847055	13.520205	0.6754545455	11	0	21.81	0.00650675	2.2835767645	1.8013312175	6038	4295
0.0233	-0.074691	0.62865	5.787619	0.68	2	0	16.06	0.01069775	0.5015224086	0.4745661095	4499	2741
0.0207	-0.008228	0.243974	5.145743	0.56	14	2	14.14	0.00742027951728269	0.805504224169388	0.6011874444	2995	2442
0.0469	0.10659	0.276791	2.739262	0.3538461538	13	2	30.16	0.00617454504823229	1.09939942223358	1.0875529174	3306	1891
0.025	0.458047	1.357961	23.033839	0.5841666667	12	0	45.64	0.00731238	1.5319529751	0.6357644318	4551	2610
0.0204	0.270162	0.94433	20.064107	0.7745833333	24	0	0	0.01014455	0.6620355343	0.5822482642	6263	4895
0.0124	0.112078	0.759314	14.485693	0.6525	4	0	16.23	0.01116411	1.1241752589	1.2487816075	4019	1341
0.0162	0.315965	1.142288	23.027746	0.63875	8	0	28.76	0.00115983	0.5625191527	0.2735648935	14038	6812
0.0289	0.013593	0.847446	12.347159	0.7063636364	11	2	34.23	0.00661160863124389	0.675892115116524	0.3391172608	13429	6953
0.0276	-0.042751	0.259588	3.81318	0.4892307692	26	0	17.81	0.00139643	0.4597710765	0.4762424101	7542	5749
0.027	-0.592966	0.77712	4.159409	0.3904	25	2	24.42	0.00683384523035174	2.60532196272927	2.84924084152672	5856	506
0.0184	0.257627	1.064733	9.066876	0.55125	8	2	18.95	0.00915811084626086	1.76857790674321	2.1791362613	4456	3228
0.0183	0.190571	1.428909	32.751508	0.779	10	1	0.25	0.00286834	0.4612780244	0.238946528	5801	3761
0.0136	0.183704	1.228155	24.220671	0.6685714286	14	0	29.27	0.00910877	0.8884721666	0.5836363929	10962	9501
0.0131	-0.175837	0.655624	5.098737	0.5622222222	18	1	31.1	0.00879713	1.0924589486	0.8867881373	4512	3356
0.0184	0.421746	1.703629	21.626953	0.5563636364	11	0	28.6	0.00888184	0.7238937485	0.6752094537	2560	1776
0.0332	0.118158	0.94589	26.210021	0.7961538462	26	0	0	0.01035214	0.9124389316	0.7664060556	4221	4029
0.0178	0.034903	0.641694	17.929615	0.7392307692	13	1	43.44	0.00876226	1.41828012350261	1.5294427818	2465	2402
0.0154	0.216588	0.875808	26.737928	0.654	10	0	18.64	0.00687045	0.4972852225	0.3492305764	16236	15020
0.012	0.073654	1.150409	30.657498	0.51	7	1	20.16	0.006856035	0.7548514118	0.6896208477	10143	8905
0.0147	0.156142	1.06402	12.212886	0	0	0	14.7	0.00142885	1.80014683786673	1.493661585	2041	737
0.0123	0.257742	0.996404	16.686006	0.8842857143	7	0	13.79	0.00581039	2.1181152851	1.7131766251	4309	3053
0.0167	0.504936	1.410275	19.615039	0.5085714286	7	0	16.55	0.00237162	0.3590831173	0.3844009796	10114	4124
0.0243	0.19909	1.123737	14.988608	0.5819047619	21	0	0	0.00321772	0.5993529518	0.3638865173	9875	3758
0.0062	0.178868	0.664065	14.454602	0	5	2	12.04	0.00620879062063133	0.828195864378711	0.6340000977	1619	979
0.0074	0.535566	1.935756	48.208689	0.4122222222	18	0	7.61	0.00383046	1.0218492189	0.7211014299	2578	2081
0.0025	0.032571	0.34427	11.768216	0.6666666667	3	2	39.07	0.00820016903330004	1.44947275316147	1.5766028563	7466	7082
0.01	0.118774	1.171504	30.092248	0.4764285714	14	2	20.9	0.00690269366765721	0.815574595892487	0.825923570287749	3496	3080
0.0272	-0.483719	1.555391	29.840353	0.125	8	2	10.14	0.00708943496860448	1.20750759457475	0.97254401273977	736	538
0.0083	0.024488	0.594305	20.133177	0.5718181818	11	2	18.65	0.00794519669431065	0.838300667610146	0.712560007634114	4678	4418
0.0158	-0.041181	0.957256	3.135867	0.7366666667	3	2	25.02	0.00824548563587012	0.831580592909775	0.730438777	3934	2965
0.0317	0.014107	0.950201	2.642875	0.7457142857	14	2	6.81	0.00885368260204707	1.22051301872277	0.8889056575	3909	2586
0.0181	0.535857	1.405691	35.005062	0.674137931	29	0	23.13	0.00341133	0.5630431437	0.3008924956	5235	4427
0.0178	0.48043	1.561531	35.398805	0.6680952381	21	0	11.41	0.00300702	0.7308539756	0.4038753619	8370	7535
0.0086	0.425329	1.440974	4.839147	0.5740909091	22	2	23.15	0.00594504513647315	1.52698793937877	1.4989594481	10407	2510
0.0268	0.168811	0.787602	23.873827	0.7107692308	13	0	15.49	0.0051259	0.7305710616	0.7616986029	4371	2944
0.0191	0.243375	0.899821	37.032338	0.8492857143	14	0	6.13	0.00695692	0.8126978034	0.2307191068	6030	5524
0.0212	0.054665	0.936532	22.311715	0.7535714286	14	0	7.1	0.01387256	0.7153703378	0.7878606629	6052	4747
0.0252	0.500137	1.272913	17.669977	0.8	5	0	18.91	0.00462181	1.56072343499756	1.1809414058	2618	1407
0.0145	0.393822	1.533731	21.744894	0.426	5	0	19.2	0.01076846	1.03836261932247	0.895085821730249	2546	2140
0.0175	0.191313	1.130431	30.354043	0.46	20	0	0	0.00991868	0.8046125282	0.3821070341	5714	5415
0.01	0.170851	0.893184	19.290501	0.5936842105	19	0	7.95	0.00309807	1.5665572654	0.5818408186	8475	8227
0.0103	0.243617	1.548444	4.037185	0.4988888889	18	2	25.98	0.00764291762715901	2.06986284132208	4.3220400293	4370	2105
0.0208	-0.081925	0.258046	1.945749	0.662	15	0	3.65	0.01414742	1.31913280523899	1.11342961582535	4175	2583
0.018	0.028063	0.439983	0.292837	0.285	2	2	13.44	0.0089259510888808	2.03682361994896	2.558129571	5054	1140
0.0116	0.102017	2.151166	3.742989	0.5714285714	14	2	28.74	0.00576366004838922	2.23399368571392	2.92072032831685	3780	1616
0.017	-0.051845	0.291616	2.701066	0.3955555556	9	2	21.13	0.00699921330770858	1.25354165310895	1.19913009593897	3939	1478
0.0332	0.204943	1.05556	8.778351	0	0	2	12.81	0.00558122854628423	1.19450558981446	0.7448500206	4753	1427
0.0235	0.237331	1.632898	8.964694	0.9418181818	11	1	39.16	0.012678745	0.749570772	0.9689183704	8738	2497
0.0142	0.046462	0.476598	0.706256	0	0	2	24.2	0.00708946153985909	1.06250368299735	1.0831444518064	5195	434
0.0171	-0.271967	0.712408	3.747413	0.76	5	2	18.58	0.00930545965939931	2.33827820114261	2.02179561445187	2223	621
0.0076	0.209812	0.851598	16.720383	0.7425	4	0	13	0.00900881	0.8936005515	0.7840852624	4862	3463
0.0221	0.716492	1.625419	12.941969	0.7058823529	17	0	15.13	0.00514924	0.7114967077	1.0273895264	11399	3079
0.015	0.286463	1.428682	14.573611	0.6438461538	13	1	27.43	0.009025615	1.0370018301	0.4246864041	14142	5810
0.0242	-0.077216	0.517669	5.066993	0	0	0	24.35	0.0062874	1.4502525411	0.8233132054	3881	879
0.0308	0.919373	1.578531	4.946422	0.5	2	2	263.98	0.00620077738513432	1.39837632196772	1.0433406995	10956	1086
0.0244	0.211708	0.686781	7.473083	1	1	0	88.39	0.0028905	0.9236168711	1.0844358373	13746	5801
0.0193	0.304587	1.2595	16.151955	0.5345	20	0	9.18	0.01124797	0.7737973459	0.4716508836	9720	5190
0.0203	0.001099	1.017519	8.42071	0.47	2	0	15.91	0.01739915	0.3239209287	0.2472848851	7151	2988
0.0096	0.265523	1.171786	26.877286	0.5208333333	12	2	7.57	0.00561235269132154	0.637554887247048	0.2425755343	10333	9318
0.0165	0.071278	0.868662	7.868109	0.7927272727	11	0	0	0.0074937	0.3239209287	0.4402657271	2358	1729
0.0106	0.525316	1.852786	15.023294	0.652	5	0	8.77	0.01153139	1.07786457353006	0.932166405	4615	1190
0.0204	0.336857	0.884178	8.745519	0.4985714286	7	1	37.09	0.00498343	0.76794910871709	0.611454321871143	15565	4422
0.0144	0.158794	1.085429	19.196558	0.804	5	0	24.77	0.00343977	1.0449720126	0.845514625	6334	2951
0.0233	-0.044493	0.797553	0.273456	0.1428571429	14	2	0	0.00697977308250981	0.968183448848596	1.30476547304057	3741	1073
0.0179	-0.120468	0.75669	1.096319	0.8325	4	2	11.33	0.00612929860914637	1.80022288633584	1.45802924105048	3966	1037
0.0074	0.278606	1.256504	31.862859	0.58	6	0	11.11	0.00356278	0.6674775361	0.5409990043	8885	8161
0.0103	-0.214915	1.284226	8.611148	0.215	4	2	16.43	0.00914152792899763	1.70860671148493	1.86713956850528	3014	1136
0.0125	0.017771	0.170609	5.427725	0.34	3	2	16.33	0.013038378937399	1.14153970772099	0.946937978700308	4559	2554
8e-04	0.711095	1.776165	29.141928	0	0	2	0	0.00615062965040252	0.860501236384901	0.4655184905	8455	4422
0.0111	0.636228	1.754009	21.455103	0	0	1	16.71	0.00292669	0.6065268498	0.499041999	12150	4574
0.0153	0.77928	1.896515	30.654152	0.8114285714	7	0	56.84	0.00768531	0.7520862962	0.7429868141	11080	6213
0.0212	0.007034	0.028831	1.558414	0.2222222222	9	2	39.81	0.00616534408857861	1.32859735941291	1.14474090502421	3013	1566
0.033	-0.281855	1.105563	0.098485	0.5917006803	147	2	0	0.00595593800306546	0.887207598384089	0.7794901057	6600	5480
0.0242	0.109986	1.036355	17.463537	0.665	16	2	27.11	0.00747213968414912	1.20753361493446	1.0595788995	4292	3424
0.0283	0.05521	0.815179	26.421692	0.3514285714	7	0	19.06	0.00762062	0.443614405	0.5401585814	3250	3076
0.0235	-0.010429	1.076784	21.490263	0.5227272727	11	2	25.98	0.00664418876156996	1.67407552226864	1.4160402991	1746	1028
0.0246	0.02467	0.774272	15.318206	0.6744444444	9	0	13.15	0.00549383	0.745674364	0.6810698809	3702	2184
0.0129	0.087223	0.819083	11.765559	0.6583333333	6	0	25.72	0.00510524	0.8985690462	0.4873489501	2860	1516
0.0149	0.225847	1.107803	21.736208	0.7177777778	9	0	33.92	0.00421344	0.683944798	0.5297996403	9208	8702
0.0054	0.16935	1.245728	31.257528	1	1	2	12.06	0.00717175260755672	0.738315023699286	0.6113273598	3487	3313
0.0157	0.44589	1.788542	19.699478	0.6207692308	13	2	23.18	0.00570324428538383	1.65909800660464	1.35659075365875	5359	2326
0.0289	0.371536	1.274397	16.425406	0.795	12	0	16.4	0.00761591	1.0363029145	0.5949328934	7085	3577
0.0184	0.051714	0.810795	22.089922	0.5685714286	7	0	21.11	0.00322826	0.4705187712	0.2221005771	3959	2707
0.015	0.242199	1.385589	32.261163	0.5533333333	9	0	0	0.00692172	0.4672882103	0.2449304406	7480	6674
0.0255	0.351678	1.756264	50.347975	0.7719230769	26	1	0	0.005929715	0.471397214	0.2850735396	6443	6037
0.0238	0.217617	1.369078	19.884537	0.6521428571	14	0	13.64	0.00535775	0.7529714721	0.6676997565	5872	3303
0.0145	0.001948	0.866616	12.688099	0.62	2	1	21.99	0.006372265	0.7816583855	0.749544216	4277	1923
0.01	0.568325	1.692362	54.727924	0.332	15	1	13.46	0.00373094	0.6644540522	0.406076847	5583	4432
0.0106	0.160685	0.936668	25.722798	0.37	8	1	14.06	0.008411285	1.2094356181	1.1186283887	9264	6747
0.0163	0.485156	1.326031	13.920452	0.084	5	2	19.47	0.00683432884488251	1.04734515107988	0.6762732617	4161	1975
0.004	0.076034	0.465752	7.277331	0	0	0	86.17	0.00249485	1.65958656087394	1.3681374021	2488	1626
0.0146	0.240204	1.421098	29.417345	0.6666666667	3	1	9.38	0.006234065	0.6193909674	0.5044941522	6999	4365
0.0181	0.179383	0.908297	10.463928	0.39	1	0	43.1	0.0047777	2.5812985366	0.7555523012	6085	2584
0.009	0.143814	1.447947	23.286586	0.2944444444	9	0	24.24	0.00913327	0.6492035335	0.5689557185	8439	6231
0.0134	0.116369	0.743213	8.67787	0	1	0	29.67	0.01198413	1.03194625878326	0.84642877788158	6367	2101
0.0143	0.103184	1.321918	24.906058	0.5628571429	14	0	12.19	0.01494579	0.6034259054	0.5283626198	8319	5112
0.0132	0.01698	0.498426	3.876755	0.25	4	2	13.54	0.0110584303555333	1.95370121141789	1.28289598331264	2422	602
0.0157	0.125811	0.613165	4.744601	0.4433333333	3	0	12.43	0.01005608	1.54874209851827	1.28960902910064	4955	933
0.0193	0.035827	0.709727	5.07233	0.59	2	0	22.09	0.0013006	1.53668754578089	1.0415294058	4756	1268
0.0269	0.094869	0.438252	8.427137	0.595	2	1	31.72	0.00881604	2.0876727113	0.8266743345	8214	6084
0.0055	-0.012533	0.689169	12.348646	0.685	4	2	9.3	0.00839791888720427	1.39724525964722	1.03349460279674	2917	1162
0.0101	0.089298	0.862537	9.064998	0.1	1	2	18.21	0.00984038655708637	1.35354447612885	1.15875282204885	2577	1291
0.0101	0.115288	0.906178	10.823465	0.65	3	0	16.34	0.00946766	1.94375409039176	1.79589158568485	3175	900
0.0128	0.544409	1.078601	22.840305	0.8476923077	13	2	2.37	0.00544210102617043	0.733216597922609	0.2471570087	10877	7592
0.0143	0.258229	0.450524	10.747018	0	0	2	37.35	0.00632623778394842	0.966005487154353	0.833335875136809	3856	2068
0.0141	-0.034594	0.369062	9.755713	0.525	2	2	21.5	0.00775575083266984	1.75060544027404	1.37816084182108	1838	1557
0.0047	0.193893	1.210584	16.079757	0.5141666667	12	1	18.42	0.01514593	0.9343327574	1.5617166671	7805	4208
0.0058	0.074946	1.042467	18.407139	0.9433333333	3	0	11.16	0.00714775	0.5927380608	0.4710825694	7942	3333
0.0105	0.025921	1.575592	3.873184	0.3677777778	9	2	8.63	0.00643920256294082	0.782498479629392	0.625046119	5437	3674
0.0156	0.066114	0.592642	11.441699	0.7566666667	3	0	12.77	0.00481999	0.4994714994	0.4533835131	5463	3391
0.0065	0.24956	1.089424	26.86822	0.482	5	0	17.09	0.00437666	0.6567643643	0.366877917	6268	3430
0.0087	0.51946	1.117276	22.801572	0.7885714286	7	2	10.82	0.00649215066906655	0.892420953125008	0.6221949562	5536	3385
0.0067	0.165692	1.003107	28.248536	0.58375	8	0	17.56	0.00306751	1.0489022462	1.024247802	8369	6650
0.0153	0.085715	1.038092	16.568659	0.794	5	0	12.48	0.01152363	0.3851362485	0.2779313939	9904	5334
0.0193	0.279019	1.166625	12.631454	0.3316666667	12	0	18.86	0.00654786	1.4337273804	1.12319725937856	7360	3241
0.0216	0.312889	1.206448	26.972033	0.7130769231	13	0	17.96	0.00549809	0.489329854	0.3086318151	10280	6887
0.0161	0.43613	1.321399	17.136033	0	0	0	7.65	0.00459202	1.14507439435921	0.95359250402441	4543	1773
0.0057	0.376095	1.618567	34.242592	0.5016666667	6	0	5.23	0.00804099	0.7572414529	1.0492075535	3341	3333
0.0191	0.198018	1.061624	11.65588	0.6630769231	26	1	15.69	0.006550905	1.1479119747	0.8741973086	11403	2851
0.0121	0.305601	1.592439	19.168472	0.836	5	0	25.32	0.00570339	1.2046207105	1.2948937453	8586	4106
0.0101	0.136147	1.082517	17.83699	1	1	0	18.59	0.00951201	0.6903846098	0.7134358202	5469	3306
